Date,Open,High,Low,Close
1980-12-31,12.85,12.85,12.85,12.85
1981-01-07,12.88,12.88,12.88,12.88
1981-01-14,13.1,13.1,13.1,13.1
1981-01-21,13.1,13.1,13.1,13.1
1981-01-28,13.1,13.1,13.1,13.1
1981-02-04,13.12,13.12,13.12,13.12
1981-02-11,13.11,13.11,13.11,13.11
1981-02-18,13.11,13.11,13.11,13.11
1981-02-25,13.12,13.12,13.12,13.12
1981-03-04,13.1,13.1,13.1,13.1
1981-03-11,13.1,13.1,13.1,13.1
1981-03-18,13.1,13.1,13.1,13.1
1981-03-25,13.1,13.1,13.1,13.1
1981-04-01,13.15,13.15,13.15,13.15
1981-04-08,13.1,13.1,13.1,13.1
1981-04-15,13.1,13.1,13.1,13.1
1981-04-22,13.15,13.15,13.15,13.15
1981-04-29,13.15,13.15,13.15,13.15
1981-05-06,13.12,13.12,13.12,13.12
1981-05-13,13.12,13.12,13.12,13.12
1981-05-20,13.1,13.1,13.1,13.1
1981-05-27,13.1,13.1,13.1,13.1
1981-06-03,13.1,13.1,13.1,13.1
1981-06-10,13.15,13.15,13.15,13.15
1981-06-17,13.15,13.15,13.15,13.15
1981-06-24,13.1,13.1,13.1,13.1
1981-07-01,13.14,13.14,13.14,13.14
1981-07-08,13.45,13.45,13.45,13.45
1981-07-15,13.5,13.5,13.5,13.5
1981-07-22,13.55,13.55,13.55,13.55
1981-07-29,13.6,13.6,13.6,13.6
1981-08-05,13.6,13.6,13.6,13.6
1981-08-12,13.85,13.85,13.85,13.85
1981-08-19,14.7,14.7,14.7,14.7
1981-08-26,14.65,14.65,14.65,14.65
1981-09-02,14.65,14.65,14.65,14.65
1981-09-09,14.55,14.55,14.55,14.55
1981-09-16,14.7,14.7,14.7,14.7
1981-09-23,14.65,14.65,14.65,14.65
1981-09-30,14.6,14.6,14.6,14.6
1981-10-07,14.5,14.5,14.5,14.5
1981-10-14,14.6,14.6,14.6,14.6
1981-10-21,14.65,14.65,14.65,14.65
1981-10-28,14.6,14.6,14.6,14.6
1981-11-04,14.3,14.3,14.3,14.3
1981-11-11,14.45,14.45,14.45,14.45
1981-11-18,14.3,14.3,14.3,14.3
1981-11-25,14.5,14.5,14.5,14.5
1981-12-02,14.5,14.5,14.5,14.5
1981-12-09,14.55,14.55,14.55,14.55
1981-12-16,14.55,14.55,14.55,14.55
1981-12-23,14.54,14.54,14.54,14.54
1981-12-30,14.5,14.5,14.5,14.5
1982-01-06,14.6,14.6,14.6,14.6
1982-01-13,14.6,14.6,14.6,14.6
1982-01-20,14.6,14.6,14.6,14.6
1982-01-27,14.65,14.65,14.65,14.65
1982-02-03,14.72,14.72,14.72,14.72
1982-02-10,14.9,14.9,14.9,14.9
1982-02-17,14.95,14.95,14.95,14.95
1982-02-24,14.95,14.95,14.95,14.95
1982-03-03,15.1,15.1,15.1,15.1
1982-03-10,15.1,15.1,15.1,15.1
1982-03-17,15.1,15.1,15.1,15.1
1982-03-24,15.15,15.15,15.15,15.15
1982-03-31,15.2,15.2,15.2,15.2
1982-04-07,15.5,15.5,15.5,15.5
1982-04-14,15.5,15.5,15.5,15.5
1982-04-21,15.5,15.5,15.5,15.5
1982-04-28,15.6,15.6,15.6,15.6
1982-05-05,15.8,15.8,15.8,15.8
1982-05-12,16,16,16,16
1982-05-19,16.4,16.4,16.4,16.4
1982-05-26,16.4,16.4,16.4,16.4
1982-06-02,16.4,16.4,16.4,16.4
1982-06-09,16.4,16.4,16.4,16.4
1982-06-16,16.4,16.4,16.4,16.4
1982-06-23,16.4,16.4,16.4,16.4
1982-06-30,16.4,16.4,16.4,16.4
1982-07-07,16.4,16.4,16.4,16.4
1982-07-14,16.4,16.4,16.4,16.4
1982-07-21,16.4,16.4,16.4,16.4
1982-07-28,16.4,16.4,16.4,16.4
1982-08-04,16.4,16.4,16.4,16.4
1982-08-11,16.5,16.5,16.5,16.5
1982-08-18,16.55,16.55,16.55,16.55
1982-08-25,16.6,16.6,16.6,16.6
1982-09-01,16.4,16.4,16.4,16.4
1982-09-08,16.5,16.5,16.5,16.5
1982-09-15,16.2,16.2,16.2,16.2
1982-09-22,15.8,15.8,15.8,15.8
1982-09-29,15.2,15.2,15.2,15.2
1982-10-06,14.6,14.6,14.6,14.6
1982-10-13,14.5,14.5,14.5,14.5
1982-10-20,14.5,14.5,14.5,14.5
1982-10-27,14.4,14.4,14.4,14.4
1982-11-03,14.4,14.4,14.4,14.4
1982-11-10,14.4,14.4,14.4,14.4
1982-11-17,14.4,14.4,14.4,14.4
1982-11-24,14.2,14.2,14.2,14.2
1982-12-01,14.4,14.4,14.4,14.4
1982-12-08,14.45,14.45,14.45,14.45
1982-12-15,14.6,14.6,14.6,14.6
1982-12-22,14.5,14.5,14.5,14.5
1982-12-29,14,14,14,14
1983-01-05,13.2,13.2,13.2,13.2
1983-01-12,12.7,12.7,12.7,12.7
1983-01-19,12.7,12.7,12.7,12.7
1983-01-26,12.55,12.55,12.55,12.55
1983-02-02,12.2,12.2,12.2,12.2
1983-02-09,12.1,12.1,12.1,12.1
1983-02-16,12.5,12.5,12.5,12.5
1983-02-23,13,13,13,13
1983-03-02,14.1,14.1,14.1,14.1
1983-03-09,14.4,14.4,14.4,14.4
1983-03-16,14.1,14.1,14.1,14.1
1983-03-23,14.1,14.1,14.1,14.1
1983-03-30,14.2,14.2,14.2,14.2
1983-04-06,14.4,14.4,14.4,14.4
1983-04-13,14.5,14.5,14.5,14.5
1983-04-20,14,14,14,14
1983-04-27,12.6,12.6,12.6,12.6
1983-05-04,12.6,12.6,12.6,12.6
1983-05-11,12.5,12.5,12.5,12.5
1983-05-18,12.2,12.2,12.2,12.2
1983-05-25,12.1,12.1,12.1,12.1
1983-06-01,12.3,12.3,12.3,12.3
1983-06-08,12.6,12.6,12.6,12.6
1983-06-15,12.9,12.9,12.9,12.9
1983-06-22,13.2,13.2,13.2,13.2
1983-06-29,13.7,13.7,13.7,13.7
1983-07-06,14,14,14,14
1983-07-13,14.2,14.2,14.2,14.2
1983-07-20,14,14,14,14
1983-07-27,13.6,13.6,13.6,13.6
1983-08-03,13.4,13.4,13.4,13.4
1983-08-10,13.8,13.8,13.8,13.8
1983-08-17,13.8,13.8,13.8,13.8
1983-08-24,13.6,13.6,13.6,13.6
1983-08-31,14,14,14,14
1983-09-07,14,14,14,14
1983-09-14,13.6,13.6,13.6,13.6
1983-09-21,13.45,13.45,13.45,13.45
1983-09-28,13,13,13,13
1983-09-30,12.8,12.8,12.8,12.8
1983-10-03,12.7,12.7,12.7,12.7
1983-10-04,12.65,12.65,12.65,12.65
1983-10-05,12.6,12.6,12.6,12.6
1983-10-06,12.7,12.7,12.7,12.7
1983-10-07,12.7,12.7,12.7,12.7
1983-10-10,12.8,12.8,12.8,12.8
1983-10-11,12.8,12.8,12.8,12.8
1983-10-12,12.75,12.75,12.75,12.75
1983-10-13,12.75,12.75,12.75,12.75
1983-10-14,12.65,12.65,12.65,12.65
1983-10-17,12.6,12.6,12.6,12.6
1983-10-18,12.6,12.6,12.6,12.6
1983-10-19,12.65,12.65,12.65,12.65
1983-10-20,12.6,12.6,12.6,12.6
1983-10-21,12.2,12.2,12.2,12.2
1983-10-24,12.2,12.2,12.2,12.2
1983-10-25,12.25,12.25,12.25,12.25
1983-10-26,12.25,12.25,12.25,12.25
1983-10-27,12.15,12.15,12.15,12.15
1983-10-28,11.95,11.95,11.95,11.95
1983-10-31,11.9,11.9,11.9,11.9
1983-11-01,11.9,11.9,11.9,11.9
1983-11-02,11.65,11.65,11.65,11.65
1983-11-03,11.7,11.7,11.7,11.7
1983-11-04,11.75,11.75,11.75,11.75
1983-11-07,11.85,11.85,11.85,11.85
1983-11-08,11.75,11.75,11.75,11.75
1983-11-09,11.65,11.65,11.65,11.65
1983-11-10,11.55,11.55,11.55,11.55
1983-11-11,11.45,11.45,11.45,11.45
1983-11-14,11.5,11.5,11.5,11.5
1983-11-15,11.45,11.45,11.45,11.45
1983-11-16,11.45,11.45,11.45,11.45
1983-11-17,11.5,11.5,11.5,11.5
1983-11-18,11.5,11.5,11.5,11.5
1983-11-21,11.5,11.5,11.5,11.5
1983-11-22,11.45,11.45,11.45,11.45
1983-11-23,11.45,11.45,11.45,11.45
1983-11-24,11.4,11.4,11.4,11.4
1983-11-25,11.25,11.25,11.25,11.25
1983-11-28,11,11,11,11
1983-11-29,10.95,10.95,10.95,10.95
1983-11-30,11,11,11,11
1983-12-01,11.05,11.05,11.05,11.05
1983-12-02,11,11,11,11
1983-12-05,11.05,11.05,11.05,11.05
1983-12-06,11.05,11.05,11.05,11.05
1983-12-07,11,11,11,11
1983-12-08,10.8,10.8,10.8,10.8
1983-12-09,10.9,10.9,10.9,10.9
1983-12-12,10.9,10.9,10.9,10.9
1983-12-13,10.95,10.95,10.95,10.95
1983-12-14,11.1,11.1,11.1,11.1
1983-12-15,11.1,11.1,11.1,11.1
1983-12-16,11.3,11.3,11.3,11.3
1983-12-19,11.35,11.35,11.35,11.35
1983-12-20,11.25,11.25,11.25,11.25
1983-12-21,11.4,11.4,11.4,11.4
1983-12-22,11.4,11.4,11.4,11.4
1983-12-23,11.45,11.45,11.45,11.45
1983-12-28,11.45,11.45,11.45,11.45
1983-12-29,11.45,11.45,11.45,11.45
1983-12-30,11.5,11.5,11.5,11.5
1984-01-03,11.45,11.45,11.45,11.45
1984-01-04,11.3,11.3,11.3,11.3
1984-01-05,11.45,11.45,11.45,11.45
1984-01-06,11.5,11.5,11.5,11.5
1984-01-09,11.55,11.55,11.55,11.55
1984-01-10,11.55,11.55,11.55,11.55
1984-01-11,11.6,11.6,11.6,11.6
1984-01-12,11.7,11.7,11.7,11.7
1984-01-13,11.7,11.7,11.7,11.7
1984-01-16,11.65,11.65,11.65,11.65
1984-01-17,11.6,11.6,11.6,11.6
1984-01-18,11.65,11.65,11.65,11.65
1984-01-19,11.7,11.7,11.7,11.7
1984-01-20,11.7,11.7,11.7,11.7
1984-01-23,11.8,11.8,11.8,11.8
1984-01-24,11.8,11.8,11.8,11.8
1984-01-25,11.9,11.9,11.9,11.9
1984-01-26,12,12,12,12
1984-01-27,12,12,12,12
1984-01-31,12.1,12.1,12.1,12.1
1984-02-01,12.2,12.2,12.2,12.2
1984-02-02,12.2,12.2,12.2,12.2
1984-02-03,12.15,12.15,12.15,12.15
1984-02-06,12.05,12.05,12.05,12.05
1984-02-07,12.05,12.05,12.05,12.05
1984-02-08,12.1,12.1,12.1,12.1
1984-02-09,12.15,12.15,12.15,12.15
1984-02-10,12.25,12.25,12.25,12.25
1984-02-13,12.25,12.25,12.25,12.25
1984-02-14,12.25,12.25,12.25,12.25
1984-02-15,12.2,12.2,12.2,12.2
1984-02-16,12.2,12.2,12.2,12.2
1984-02-17,12.3,12.3,12.3,12.3
