Date,Open,High,Low,Close
1994-03-15,5.734,5.734,5.734,5.734
1994-03-16,5.67,5.67,5.67,5.67
1994-03-17,5.64,5.64,5.64,5.64
1994-03-18,5.894,5.894,5.894,5.894
1994-03-21,6.082,6.082,6.082,6.082
1994-03-22,5.973,5.973,5.973,5.973
1994-03-23,5.947,5.947,5.947,5.947
1994-03-24,6.063,6.063,6.063,6.063
1994-03-25,6.187,6.187,6.187,6.187
1994-03-28,6.245,6.245,6.245,6.245
1994-03-29,6.534,6.534,6.534,6.534
1994-03-30,6.708,6.708,6.708,6.708
1994-03-31,6.807,6.807,6.807,6.807
1994-04-04,7.392,7.392,7.392,7.392
1994-04-05,6.974,6.974,6.974,6.974
1994-04-06,7.034,7.034,7.034,7.034
1994-04-07,6.858,6.858,6.858,6.858
1994-04-08,6.844,6.844,6.844,6.844
1994-04-11,6.852,6.852,6.852,6.852
1994-04-12,6.676,6.676,6.676,6.676
1994-04-13,6.725,6.725,6.725,6.725
1994-04-14,6.761,6.761,6.761,6.761
1994-04-15,6.841,6.841,6.841,6.841
1994-04-18,7.165,7.165,7.165,7.165
1994-04-19,7.138,7.138,7.138,7.138
1994-04-20,7.131,7.131,7.131,7.131
1994-04-21,6.974,6.974,6.974,6.974
1994-04-22,6.996,6.996,6.996,6.996
1994-04-25,6.963,6.963,6.963,6.963
1994-04-26,6.853,6.853,6.853,6.853
1994-04-27,6.857,6.857,6.857,6.857
1994-04-28,7.049,7.049,7.049,7.049
1994-04-29,7.172,7.172,7.172,7.172
1994-05-02,7.242,7.242,7.242,7.242
1994-05-03,7.274,7.274,7.274,7.274
1994-05-04,7.368,7.368,7.368,7.368
1994-05-05,7.47,7.47,7.47,7.47
1994-05-06,7.683,7.683,7.683,7.683
1994-05-09,7.844,7.844,7.844,7.844
1994-05-10,7.603,7.603,7.603,7.603
1994-05-11,7.73,7.73,7.73,7.73
1994-05-12,7.718,7.718,7.718,7.718
1994-05-13,7.482,7.482,7.482,7.482
1994-05-16,7.345,7.345,7.345,7.345
1994-05-17,7.171,7.171,7.171,7.171
1994-05-18,7.114,7.114,7.114,7.114
1994-05-19,6.968,6.968,6.968,6.968
1994-05-20,7.183,7.183,7.183,7.183
1994-05-24,7.334,7.334,7.334,7.334
1994-05-25,7.41,7.41,7.41,7.41
1994-05-26,7.495,7.495,7.495,7.495
1994-05-27,7.581,7.581,7.581,7.581
1994-05-30,7.576,7.576,7.576,7.576
1994-05-31,7.659,7.659,7.659,7.659
1994-06-01,7.695,7.695,7.695,7.695
1994-06-02,7.733,7.733,7.733,7.733
1994-06-03,7.547,7.547,7.547,7.547
1994-06-06,7.4,7.4,7.4,7.4
1994-06-07,7.463,7.463,7.463,7.463
1994-06-08,7.471,7.471,7.471,7.471
1994-06-09,7.476,7.476,7.476,7.476
1994-06-10,7.516,7.516,7.516,7.516
1994-06-13,7.738,7.738,7.738,7.738
1994-06-14,7.845,7.845,7.845,7.845
1994-06-15,8.233,8.233,8.233,8.233
1994-06-16,8.08,8.08,8.08,8.08
1994-06-17,8.3,8.3,8.3,8.3
1994-06-20,8.483,8.483,8.483,8.483
1994-06-21,8.555,8.555,8.555,8.555
1994-06-22,8.404,8.404,8.404,8.404
1994-06-23,8.394,8.394,8.394,8.394
1994-06-24,8.659,8.659,8.659,8.659
1994-06-27,8.524,8.524,8.524,8.524
1994-06-28,8.51,8.51,8.51,8.51
1994-06-29,8.381,8.381,8.381,8.381
1994-06-30,8.453,8.453,8.453,8.453
1994-07-04,8.471,8.471,8.471,8.471
1994-07-05,8.377,8.377,8.377,8.377
1994-07-06,8.314,8.314,8.314,8.314
1994-07-07,8.316,8.316,8.316,8.316
1994-07-08,8.438,8.438,8.438,8.438
1994-07-11,8.481,8.481,8.481,8.481
1994-07-12,8.279,8.279,8.279,8.279
1994-07-13,8.125,8.125,8.125,8.125
1994-07-14,7.931,7.931,7.931,7.931
1994-07-15,7.973,7.973,7.973,7.973
1994-07-18,7.896,7.896,7.896,7.896
1994-07-19,7.824,7.824,7.824,7.824
1994-07-20,8.098,8.098,8.098,8.098
1994-07-21,8.209,8.209,8.209,8.209
1994-07-22,8.184,8.184,8.184,8.184
1994-07-25,8.195,8.195,8.195,8.195
1994-07-26,8.253,8.253,8.253,8.253
1994-07-27,8.29,8.29,8.29,8.29
1994-07-28,8.266,8.266,8.266,8.266
1994-07-29,8.099,8.099,8.099,8.099
1994-08-02,8.057,8.057,8.057,8.057
1994-08-03,7.937,7.937,7.937,7.937
1994-08-04,7.901,7.901,7.901,7.901
1994-08-05,8.071,8.071,8.071,8.071
1994-08-08,7.875,7.875,7.875,7.875
1994-08-09,7.85,7.85,7.85,7.85
1994-08-10,7.797,7.797,7.797,7.797
1994-08-11,7.956,7.956,7.956,7.956
1994-08-12,7.984,7.984,7.984,7.984
1994-08-15,7.974,7.974,7.974,7.974
