Date,Open,High,Low,Close
1998-01-19,4.765,4.765,4.765,4.765
1998-01-20,4.723,4.723,4.723,4.723
1998-01-21,4.696,4.696,4.696,4.696
1998-01-22,4.76,4.76,4.76,4.76
1998-01-23,4.779,4.779,4.779,4.779
1998-01-26,4.83,4.83,4.83,4.83
1998-01-27,4.808,4.808,4.808,4.808
1998-01-28,4.817,4.817,4.817,4.817
1998-01-29,4.837,4.837,4.837,4.837
1998-01-30,4.813,4.813,4.813,4.813
1998-02-02,4.85,4.85,4.85,4.85
1998-02-03,4.864,4.864,4.864,4.864
1998-02-04,4.852,4.852,4.852,4.852
1998-02-05,4.812,4.812,4.812,4.812
1998-02-06,4.819,4.819,4.819,4.819
1998-02-09,4.828,4.828,4.828,4.828
1998-02-10,4.845,4.845,4.845,4.845
1998-02-11,4.829,4.829,4.829,4.829
1998-02-12,4.802,4.802,4.802,4.802
1998-02-13,4.764,4.764,4.764,4.764
1998-02-16,4.74,4.74,4.74,4.74
1998-02-17,4.691,4.691,4.691,4.691
1998-02-18,4.633,4.633,4.633,4.633
1998-02-19,4.652,4.652,4.652,4.652
1998-02-20,4.684,4.684,4.684,4.684
1998-02-23,4.666,4.666,4.666,4.666
1998-02-24,4.718,4.718,4.718,4.718
1998-02-25,4.734,4.734,4.734,4.734
1998-02-26,4.717,4.717,4.717,4.717
1998-02-27,4.699,4.699,4.699,4.699
1998-03-02,4.725,4.725,4.725,4.725
1998-03-03,4.671,4.671,4.671,4.671
1998-03-04,4.707,4.707,4.707,4.707
1998-03-05,4.68,4.68,4.68,4.68
1998-03-06,4.606,4.606,4.606,4.606
1998-03-09,4.577,4.577,4.577,4.577
1998-03-10,4.517,4.517,4.517,4.517
1998-03-11,4.527,4.527,4.527,4.527
1998-03-12,4.519,4.519,4.519,4.519
1998-03-13,4.523,4.523,4.523,4.523
1998-03-16,4.534,4.534,4.534,4.534
1998-03-17,4.536,4.536,4.536,4.536
1998-03-18,4.546,4.546,4.546,4.546
1998-03-19,4.521,4.521,4.521,4.521
1998-03-20,4.508,4.508,4.508,4.508
1998-03-23,4.482,4.482,4.482,4.482
1998-03-24,4.476,4.476,4.476,4.476
1998-03-25,4.47,4.47,4.47,4.47
1998-03-26,4.478,4.478,4.478,4.478
1998-03-27,4.492,4.492,4.492,4.492
1998-03-30,4.538,4.538,4.538,4.538
1998-03-31,4.496,4.496,4.496,4.496
1998-04-01,4.513,4.513,4.513,4.513
1998-04-02,4.498,4.498,4.498,4.498
1998-04-03,4.459,4.459,4.459,4.459
1998-04-06,4.449,4.449,4.449,4.449
1998-04-07,4.505,4.505,4.505,4.505
1998-04-08,4.537,4.537,4.537,4.537
1998-04-09,4.547,4.547,4.547,4.547
