Date,Open,High,Low,Close
2021-10-29,2.188,2.193,2.068,2.078
2021-11-01,2.078,2.078,2.028,2.04
2021-11-02,2.033,2.068,2.033,2.068
2021-11-03,2.003,2.135,2.003,2.075
2021-11-04,2.075,2.113,2.06,2.078
2021-11-05,2.035,2.04,2.03,2.03
2021-11-08,2.03,2.03,2.008,2.023
2021-11-09,2.035,2.043,2.033,2.033
2021-11-10,2.02,2.033,2.02,2.02
2021-11-11,2.11,2.11,2.05,2.08
2021-11-12,2.11,2.115,2.083,2.088
2021-11-15,2.088,2.088,2.065,2.07
2021-11-16,2.1,2.1,2.088,2.088
2021-11-17,2.115,2.115,2.098,2.098
2021-11-18,2.098,2.13,2.06,2.13
2021-11-19,2.14,2.145,2.125,2.145
2021-11-22,2.165,2.165,2.15,2.15
2021-11-23,2.148,2.148,2.119,2.119
2021-11-24,2.13,2.13,1.99,1.99
2021-11-25,1.99,2,1.975,1.98
2021-11-26,1.98,1.98,1.88,1.9
2021-11-29,1.9,1.9,1.82,1.89
2021-11-30,1.89,1.89,1.84,1.865
2021-12-01,1.83,1.89,1.83,1.89
2021-12-02,1.875,1.97,1.853,1.97
2021-12-03,1.97,1.99,1.97,1.97
2021-12-06,1.97,1.97,1.93,1.94
2021-12-07,1.973,2.05,1.973,2.05
2021-12-08,2.07,2.11,2.07,2.085
2021-12-09,2.108,2.13,2.1,2.103
2021-12-10,2.07,2.07,2.065,2.065
2021-12-13,2.065,2.065,2.03,2.03
2021-12-14,2,2.008,1.998,2.005
2021-12-15,2.033,2.033,1.983,2.025
2021-12-16,2.02,2.07,2.018,2.05
2021-12-17,2.033,2.035,2.033,2.035
2021-12-20,2.035,2.035,2,2
2021-12-21,2,2,1.985,1.985
2021-12-22,2.008,2.008,1.985,1.985
2021-12-23,1.993,1.993,1.965,1.965
2021-12-28,1.955,1.955,1.947,1.947
2021-12-29,1.968,1.968,1.935,1.935
2021-12-30,1.945,1.96,1.94,1.94
2021-12-31,1.935,1.975,1.935,1.975
2022-01-04,2.007,2.007,1.997,1.997
2022-01-05,2.02,2.02,2,2.01
2022-01-06,2.043,2.045,2.023,2.03
2022-01-07,2.03,2.03,2.02,2.02
2022-01-10,2.02,2.065,2.02,2.05
2022-01-11,2.033,2.043,2.033,2.043
2022-01-12,2.03,2.03,2.013,2.015
2022-01-13,1.975,1.975,1.972,1.972
2022-01-14,1.988,1.988,1.978,1.978
2022-01-17,1.978,2.04,1.978,2.03
2022-01-18,2.03,2.035,2.008,2.015
2022-01-19,2.045,2.16,2.045,2.16
2022-01-20,2.153,2.18,2.15,2.15
2022-01-21,2.135,2.135,2.093,2.093
2022-01-24,2.093,2.12,2.093,2.12
2022-01-25,2.12,2.145,2.103,2.145
2022-01-26,2.138,2.199,2.138,2.169
