Date,Open,High,Low,Close
1991-01-02,11.395,11.395,11.395,11.395
1991-01-03,11.17,11.17,11.17,11.17
1991-01-04,11.222,11.222,11.222,11.222
1991-01-07,11.142,11.142,11.142,11.142
1991-01-08,11.144,11.144,11.144,11.144
1991-01-09,11.128,11.128,11.128,11.128
1991-01-10,11.211,11.211,11.211,11.211
1991-01-11,11.28,11.28,11.28,11.28
1991-01-15,11.299,11.299,11.299,11.299
1991-01-16,11.333,11.333,11.333,11.333
1991-01-17,11.171,11.171,11.171,11.171
1991-01-18,11.142,11.142,11.142,11.142
1991-01-21,11.111,11.111,11.111,11.111
1991-01-22,11.063,11.063,11.063,11.063
1991-01-23,11.146,11.146,11.146,11.146
1991-01-24,11.049,11.049,11.049,11.049
1991-01-25,11.069,11.069,11.069,11.069
1991-01-29,11.137,11.137,11.137,11.137
1991-01-30,11.106,11.106,11.106,11.106
1991-01-31,11.107,11.107,11.107,11.107
1991-02-01,11.144,11.144,11.144,11.144
1991-02-04,11.095,11.095,11.095,11.095
1991-02-05,10.98,10.98,10.98,10.98
1991-02-06,10.849,10.849,10.849,10.849
1991-02-07,10.7,10.7,10.7,10.7
1991-02-08,10.653,10.653,10.653,10.653
1991-02-11,10.704,10.704,10.704,10.704
1991-02-12,10.688,10.688,10.688,10.688
1991-02-13,10.573,10.573,10.573,10.573
1991-02-14,10.557,10.557,10.557,10.557
1991-02-15,10.542,10.542,10.542,10.542
1991-02-18,10.443,10.443,10.443,10.443
1991-02-19,10.361,10.361,10.361,10.361
1991-02-20,10.395,10.395,10.395,10.395
1991-02-21,10.429,10.429,10.429,10.429
1991-02-22,10.431,10.431,10.431,10.431
1991-02-25,10.448,10.448,10.448,10.448
1991-02-27,10.399,10.399,10.399,10.399
1991-02-28,10.45,10.45,10.45,10.45
1991-03-01,10.537,10.537,10.537,10.537
1991-03-04,10.589,10.589,10.589,10.589
1991-03-05,10.556,10.556,10.556,10.556
1991-03-06,10.539,10.539,10.539,10.539
1991-03-07,10.421,10.421,10.421,10.421
1991-03-08,10.321,10.321,10.321,10.321
1991-03-11,10.271,10.271,10.271,10.271
1991-03-12,10.306,10.306,10.306,10.306
1991-03-13,10.357,10.357,10.357,10.357
1991-03-14,10.273,10.273,10.273,10.273
1991-03-15,10.24,10.24,10.24,10.24
1991-03-18,10.292,10.292,10.292,10.292
1991-03-19,10.43,10.43,10.43,10.43
1991-03-20,10.379,10.379,10.379,10.379
1991-03-21,10.242,10.242,10.242,10.242
1991-03-22,10.348,10.348,10.348,10.348
1991-03-25,10.435,10.435,10.435,10.435
1991-03-26,10.418,10.418,10.418,10.418
1991-03-27,10.419,10.419,10.419,10.419
1991-03-28,10.301,10.301,10.301,10.301
1991-04-02,10.302,10.302,10.302,10.302
1991-04-03,10.285,10.285,10.285,10.285
1991-04-04,10.276,10.276,10.276,10.276
