Date,Open,High,Low,Close,Volume
2001-01-03,1673.77,1673.77,1673.77,1673.77,0
2001-01-04,1702.54,1702.54,1702.54,1702.54,0
2001-01-05,1721.08,1721.08,1721.08,1721.08,0
2001-01-08,1713.83,1713.83,1713.83,1713.83,0
2001-01-09,1727.34,1727.34,1727.34,1727.34,0
2001-01-10,1706.58,1706.58,1706.58,1706.58,0
2001-01-11,1709.53,1709.53,1709.53,1709.53,0
2001-01-12,1735.35,1735.35,1735.35,1735.35,0
2001-01-15,1752.82,1752.82,1752.82,1752.82,0
2001-01-16,1772.9,1772.9,1772.9,1772.9,0
2001-01-17,1787.4,1787.4,1787.4,1787.4,0
2001-01-18,1792.42,1792.42,1792.42,1792.42,0
2001-01-19,1818.54,1818.54,1818.54,1818.54,0
2001-01-22,1840.2,1840.2,1840.2,1840.2,0
2001-01-23,1824.14,1824.14,1824.14,1824.14,0
2001-01-24,1795.7,1795.7,1795.7,1795.7,0
2001-01-25,1791.14,1791.14,1791.14,1791.14,0
2001-01-26,1792.45,1792.45,1792.45,1792.45,0
2001-01-29,1794.97,1794.97,1794.97,1794.97,0
2001-01-30,1810.32,1810.32,1810.32,1810.32,0
2001-01-31,1830.84,1830.84,1830.84,1830.84,0
2001-02-01,1837.28,1837.28,1837.28,1837.28,0
2001-02-02,1827.35,1827.35,1827.35,1827.35,0
2001-02-05,1799.16,1799.16,1799.16,1799.16,0
2001-02-07,1795.74,1795.74,1795.74,1795.74,0
2001-02-08,1805.52,1805.52,1805.52,1805.52,0
2001-02-09,1813.79,1813.79,1813.79,1813.79,0
2001-02-12,1832.6,1832.6,1832.6,1832.6,0
2001-02-13,1820.86,1820.86,1820.86,1820.86,0
2001-02-14,1777.51,1777.51,1777.51,1777.51,0
2001-02-15,1768.01,1768.01,1768.01,1768.01,0
2001-02-16,1769.32,1769.32,1769.32,1769.32,0
2001-02-19,1770.97,1770.97,1770.97,1770.97,0
2001-02-20,1803.2,1803.2,1803.2,1803.2,0
2001-02-21,1786.93,1786.93,1786.93,1786.93,0
2001-02-22,1762.13,1762.13,1762.13,1762.13,0
2001-02-23,1788.95,1788.95,1788.95,1788.95,0
