Date,Open,High,Low,Close,Volume
1956-01-31,525.63,525.63,525.63,525.63,0
1956-02-29,545.15,545.15,545.15,545.15,0
1956-03-30,588.91,588.91,588.91,588.91,0
1956-04-30,583.61,583.61,583.61,583.61,0
1956-05-31,560.09,560.09,560.09,560.09,0
1956-06-29,575.39,575.39,575.39,575.39,0
1956-07-31,617.67,617.67,617.67,617.67,0
1956-08-31,603.75,603.75,603.75,603.75,0
1956-09-28,566.99,566.99,566.99,566.99,0
1956-10-31,554.02,554.02,554.02,554.02,0
1956-11-30,524.63,524.63,524.63,524.63,0
1956-12-31,564.97,564.97,564.97,564.97,0
1957-01-31,568.14,568.14,568.14,568.14,0
1957-02-28,545.24,545.24,545.24,545.24,0
1957-03-29,563.76,563.76,563.76,563.76,0
1957-04-30,589.32,589.32,589.32,589.32,0
1957-05-31,606.14,606.14,606.14,606.14,0
1957-06-28,592.74,592.74,592.74,592.74,0
1957-07-31,577.34,577.34,577.34,577.34,0
1957-08-30,520.16,520.16,520.16,520.16,0
1957-09-30,483.3,483.3,483.3,483.3,0
1957-10-31,447.81,447.81,447.81,447.81,0
1957-11-29,458.28,458.28,458.28,458.28,0
1957-12-31,432.11,432.11,432.11,432.11,0
1958-01-31,448.97,448.97,448.97,448.97,0
1958-02-28,444.1,444.1,444.1,444.1,0
1958-03-31,457.38,457.38,457.38,457.38,0
1958-04-30,454.02,454.02,454.02,454.02,0
1958-05-30,472.88,472.88,472.88,472.88,0
1958-06-30,484.63,484.63,484.63,484.63,0
1958-07-31,508.17,508.17,508.17,508.17,0
1958-08-29,514.82,514.82,514.82,514.82,0
1958-09-30,531.72,531.72,531.72,531.72,0
1958-10-31,537.39,537.39,537.39,537.39,0
1958-11-28,539.95,539.95,539.95,539.95,0
1958-12-31,547.72,547.72,547.72,547.72,0
1959-01-30,562.52,562.52,562.52,562.52,0
1959-02-27,566.64,566.64,566.64,566.64,0
1959-03-31,562.67,562.67,562.67,562.67,0
1959-04-30,567.91,567.91,567.91,567.91,0
1959-05-29,568.99,568.99,568.99,568.99,0
1959-06-30,573.36,573.36,573.36,573.36,0
1959-07-31,598.96,598.96,598.96,598.96,0
1959-08-31,568.5,568.5,568.5,568.5,0
1959-09-30,541.36,541.36,541.36,541.36,0
1959-10-30,541.19,541.19,541.19,541.19,0
1959-11-30,538.37,538.37,538.37,538.37,0
1959-12-31,555.09,555.09,555.09,555.09,0
1960-01-29,529.8,529.8,529.8,529.8,0
1960-02-29,512.23,512.23,512.23,512.23,0
1960-03-31,512.05,512.05,512.05,512.05,0
1960-04-29,503.08,503.08,503.08,503.08,0
1960-05-31,517.97,517.97,517.97,517.97,0
1960-06-30,505.11,505.11,505.11,505.11,0
1960-07-29,494.06,494.06,494.06,494.06,0
1960-08-31,526.47,526.47,526.47,526.47,0
1960-09-30,500.33,500.33,500.33,500.33,0
1960-10-31,500.2,500.2,500.2,500.2,0
1960-11-30,519.43,519.43,519.43,519.43,0
1960-12-30,544.74,544.74,544.74,544.74,0
1961-01-31,575.6,575.6,575.6,575.6,0
1961-02-28,594.4,594.4,594.4,594.4,0
1961-03-31,605.61,605.61,605.61,605.61,0
1961-04-28,633.44,633.44,633.44,633.44,0
1961-05-31,646.09,646.09,646.09,646.09,0
1961-06-30,650.67,650.67,650.67,650.67,0
1961-07-31,662.35,662.35,662.35,662.35,0
1961-08-31,672.44,672.44,672.44,672.44,0
1961-09-29,661.6,661.6,661.6,661.6,0
1961-10-31,665.52,665.52,665.52,665.52,0
1961-11-30,685.69,685.69,685.69,685.69,0
1961-12-29,700.85,700.85,700.85,700.85,0
1962-01-31,682.83,682.83,682.83,682.83,0
1962-02-28,686.81,686.81,686.81,686.81,0
1962-03-30,686.01,686.01,686.01,686.01,0
1962-04-30,667.55,667.55,667.55,667.55,0
1962-05-31,612.41,612.41,612.41,612.41,0
1962-06-29,572.46,572.46,572.46,572.46,0
1962-07-31,586.08,586.08,586.08,586.08,0
1962-08-31,600.28,600.28,600.28,600.28,0
1962-09-28,571.84,571.84,571.84,571.84,0
1962-10-31,580.7,580.7,580.7,580.7,0
1962-11-30,626.17,626.17,626.17,626.17,0
1962-12-31,628.99,628.99,628.99,628.99,0
1963-01-31,659.89,659.89,659.89,659.89,0
1963-02-28,638.45,638.45,638.45,638.45,0
1963-03-29,657.52,657.52,657.52,657.52,0
1963-04-30,689.22,689.22,689.22,689.22,0
1963-05-31,700.41,700.41,700.41,700.41,0
1963-06-28,674.43,674.43,674.43,674.43,0
1963-07-31,656.32,656.32,656.32,656.32,0
1963-08-30,660.72,660.72,660.72,660.72,0
1963-09-30,680.62,680.62,680.62,680.62,0
1963-10-31,686.03,686.03,686.03,686.03,0
1963-11-29,679.15,679.15,679.15,679.15,0
1963-12-31,702.71,702.71,702.71,702.71,0
1964-01-31,721.44,721.44,721.44,721.44,0
1964-02-28,715.36,715.36,715.36,715.36,0
1964-03-31,743.19,743.19,743.19,743.19,0
1964-04-30,770.46,770.46,770.46,770.46,0
1964-05-29,797.14,797.14,797.14,797.14,0
1964-06-30,795.63,795.63,795.63,795.63,0
1964-07-31,813.76,813.76,813.76,813.76,0
1964-08-31,808.84,808.84,808.84,808.84,0
1964-09-30,843.59,843.59,843.59,843.59,0
1964-10-30,846.66,846.66,846.66,846.66,0
1964-11-30,850.1,850.1,850.1,850.1,0
1964-12-31,853.53,853.53,853.53,853.53,0
1965-01-29,901.4,901.4,901.4,901.4,0
1965-02-26,897.45,897.45,897.45,897.45,0
1965-03-31,889.54,889.54,889.54,889.54,0
1965-04-30,911.26,911.26,911.26,911.26,0
1965-05-31,909.11,909.11,909.11,909.11,0
1965-06-30,847.1,847.1,847.1,847.1,0
1965-07-30,838.42,838.42,838.42,838.42,0
1965-08-31,858.92,858.92,858.92,858.92,0
1965-09-30,873.38,873.38,873.38,873.38,0
1965-10-29,888.86,888.86,888.86,888.86,0
1965-11-30,863.75,863.75,863.75,863.75,0
1965-12-31,881.14,881.14,881.14,881.14,0
1966-01-31,917.75,917.75,917.75,917.75,0
1966-02-28,895.21,895.21,895.21,895.21,0
1966-03-31,883.03,883.03,883.03,883.03,0
1966-04-29,891.22,891.22,891.22,891.22,0
1966-05-31,861.74,861.74,861.74,861.74,0
1966-06-30,856.94,856.94,856.94,856.94,0
1966-07-29,842.77,842.77,842.77,842.77,0
1966-08-31,780.38,780.38,780.38,780.38,0
1966-09-30,761.11,761.11,761.11,761.11,0
1966-10-31,775.89,775.89,775.89,775.89,0
1966-11-30,770.76,770.76,770.76,770.76,0
1966-12-30,789.51,789.51,789.51,789.51,0
1967-01-31,843.44,843.44,843.44,843.44,0
1967-02-28,851.43,851.43,851.43,851.43,0
1967-03-31,879.95,879.95,879.95,879.95,0
1967-04-28,898.15,898.15,898.15,898.15,0
1967-05-31,864.58,864.58,864.58,864.58,0
1967-06-30,886.91,886.91,886.91,886.91,0
1967-07-31,915.45,915.45,915.45,915.45,0
1967-08-31,904.64,904.64,904.64,904.64,0
1967-09-29,922.5,922.5,922.5,922.5,0
1967-10-31,868.65,868.65,868.65,868.65,0
1967-11-30,890.69,890.69,890.69,890.69,0
1967-12-29,899.2,899.2,899.2,899.2,0
1968-01-31,873.62,873.62,873.62,873.62,0
1968-02-29,835.33,835.33,835.33,835.33,0
1968-03-29,814.79,814.79,814.79,814.79,0
1968-04-30,887.47,887.47,887.47,887.47,0
1968-05-31,879.08,879.08,879.08,879.08,0
1968-06-28,925.39,925.39,925.39,925.39,0
1968-07-31,920.14,920.14,920.14,920.14,0
1968-08-30,943.95,943.95,943.95,943.95,0
1968-09-30,989.11,989.11,989.11,989.11,0
1968-10-31,1003.97,1003.97,1003.97,1003.97,0
1968-11-29,1041.56,1041.56,1041.56,1041.56,0
1968-12-31,1062.88,1062.88,1062.88,1062.88,0
1969-01-31,1090.82,1090.82,1090.82,1090.82,0
1969-02-28,1039.02,1039.02,1039.02,1039.02,0
1969-03-31,1072.16,1072.16,1072.16,1072.16,0
1969-04-30,1102.46,1102.46,1102.46,1102.46,0
1969-05-30,1131.04,1131.04,1131.04,1131.04,0
1969-06-30,1008.55,1008.55,1008.55,1008.55,0
1969-07-31,950.75,950.75,950.75,950.75,0
1969-08-29,998.53,998.53,998.53,998.53,0
1969-09-30,991.79,991.79,991.79,991.79,0
1969-10-31,1005.69,1005.69,1005.69,1005.69,0
1969-11-28,1031.26,1031.26,1031.26,1031.26,0
1969-12-31,1019.77,1019.77,1019.77,1019.77,0
1970-01-30,980.23,980.23,980.23,980.23,0
1970-02-27,1006.4,1006.4,1006.4,1006.4,0
1970-03-31,1006.06,1006.06,1006.06,1006.06,0
1970-04-30,917.72,917.72,917.72,917.72,0
1970-05-29,828.21,828.21,828.21,828.21,0
1970-06-30,810.78,810.78,810.78,810.78,0
1970-07-31,847.78,847.78,847.78,847.78,0
1970-08-31,869.99,869.99,869.99,869.99,0
1970-09-30,909.19,909.19,909.19,909.19,0
1970-10-30,883.67,883.67,883.67,883.67,0
1970-11-30,922.19,922.19,922.19,922.19,0
1970-12-31,947.54,947.54,947.54,947.54,0
1971-01-29,975.13,975.13,975.13,975.13,0
1971-02-26,974.5,974.5,974.5,974.5,0
1971-03-31,1000.73,1000.73,1000.73,1000.73,0
1971-04-30,1017,1017,1017,1017,0
1971-05-31,973.05,973.05,973.05,973.05,0
1971-06-30,986.85,986.85,986.85,986.85,0
1971-07-30,983.49,983.49,983.49,983.49,0
1971-08-31,976.33,976.33,976.33,976.33,0
1971-09-30,961.97,961.97,961.97,961.97,0
1971-10-29,881.41,881.41,881.41,881.41,0
1971-11-30,885.54,885.54,885.54,885.54,0
1971-12-31,990.54,990.54,990.54,990.54,0
1972-01-31,1078.92,1078.92,1078.92,1078.92,0
1972-02-29,1114.89,1114.89,1114.89,1114.89,0
1972-03-31,1087.72,1087.72,1087.72,1087.72,0
1972-04-28,1099.12,1099.12,1099.12,1099.12,0
1972-05-31,1129.41,1129.41,1129.41,1129.41,0
1972-06-30,1104.29,1104.29,1104.29,1104.29,0
1972-07-31,1129.86,1129.86,1129.86,1129.86,0
1972-08-31,1189.29,1189.29,1189.29,1189.29,0
1972-09-29,1167.44,1167.44,1167.44,1167.44,0
