Date,Open,High,Low,Close
1968-01-02,37,37,37,37
1968-01-03,37,37,37,37
1968-01-04,37,37,37,37
1968-01-05,37,37,37,37
1968-01-08,37,37,37,37
1968-01-09,37,37,37,37
1968-01-10,37,37,37,37
1968-01-11,37,37,37,37
1968-01-12,37,37,37,37
1968-01-15,37,37,37,37
1968-01-16,37,37,37,37
1968-01-17,37,37,37,37
1968-01-18,37,37,37,37
1968-01-19,37,37,37,37
1968-01-22,37,37,37,37
1968-01-23,37,37,37,37
1968-01-24,37,37,37,37
1968-01-25,37,37,37,37
1968-01-26,37,37,37,37
1968-01-29,37,37,37,37
1968-01-30,37,37,37,37
1968-01-31,37,37,37,37
1968-02-01,37,37,37,37
1968-02-02,37,37,37,37
1968-02-05,37,37,37,37
1968-02-06,39,39,39,39
1968-02-07,39,39,39,39
1968-02-08,39,39,39,39
1968-02-09,39,39,39,39
1968-02-13,39,39,39,39
1968-02-14,39,39,39,39
1968-02-15,39,39,39,39
1968-02-16,39,39,39,39
1968-02-19,39,39,39,39
1968-02-20,39,39,39,39
1968-02-21,39,39,39,39
1968-02-23,39,39,39,39
1968-02-26,39,39,39,39
1968-02-27,39,39,39,39
1968-02-28,39,39,39,39
1968-02-29,39,39,39,39
1968-03-01,39,39,39,39
1968-03-04,39,39,39,39
1968-03-05,39,39,39,39
1968-03-06,39,39,39,39
1968-03-07,39,39,39,39
1968-03-08,39,39,39,39
1968-03-11,39,39,39,39
1968-03-12,39,39,39,39
1968-03-13,39,39,39,39
1968-03-14,39,39,39,39
1968-03-15,42,42,42,42
1968-03-18,42,42,42,42
1968-03-19,42,42,42,42
1968-03-20,42,42,42,42
1968-03-21,42,42,42,42
1968-03-22,42,42,42,42
1968-03-25,42,42,42,42
1968-03-26,42,42,42,42
1968-03-27,42,42,42,42
1968-03-28,42,42,42,42
1968-03-29,42,42,42,42
1968-04-01,42,42,42,42
1968-04-02,42,42,42,42
1968-04-03,42,42,42,42
1968-04-04,42,42,42,42
1968-04-05,42,42,42,42
1968-04-08,42,42,42,42
1968-04-10,42,42,42,42
1968-04-11,42,42,42,42
1968-04-12,42,42,42,42
1968-04-15,42,42,42,42
